OBJECTID,ID,PREC_PLANI,PREC_ALTI,NATURE,Z_MOYEN
95,TERRSPOR0000000063706877,1.5,1,Indifférencié,71.5
96,TERRSPOR0000000063706796,1.5,1,Indifférencié,100.5
97,TERRSPOR0000000063706794,1.5,1,Indifférencié,96.74
98,TERRSPOR0000000063706839,1.5,1,Indifférencié,111.74
99,TERRSPOR0000000063706837,1.5,1,Indifférencié,95.46
100,TERRSPOR0000000063706814,1.5,1,Indifférencié,88.74
101,TERRSPOR0000000063706856,1.5,1,Indifférencié,112.34
102,TERRSPOR0000000063706873,1.5,1,Terrain de tennis,91.18
103,TERRSPOR0000000063706875,1.5,1,Indifférencié,88.54
104,TERRSPOR0000000063706853,1.5,1,Indifférencié,77.68
105,TERRSPOR0000000063706802,1.5,1,Indifférencié,83.64
106,TERRSPOR0000000063706860,1.5,1,Indifférencié,109.38
107,TERRSPOR0000000063706815,1.5,1,Indifférencié,91.9
108,TERRSPOR0000000063706818,1.5,1,Indifférencié,93.54
109,TERRSPOR0000000063706909,1.5,1,Indifférencié,60.01
110,TERRSPOR0000000063706803,1.5,1,Indifférencié,81.58
111,TERRSPOR0000000063706784,1.5,1,Indifférencié,101.9
112,TERRSPOR0000000063706792,1.5,1,Indifférencié,118.42
113,TERRSPOR0000000063706768,1.5,1,Indifférencié,90.06
114,TERRSPOR0000000063706737,1.5,1,Indifférencié,131.76
115,TERRSPOR0000000063706705,1.5,1,Indifférencié,94.44
116,TERRSPOR0000000063706753,1.5,1,Indifférencié,141.92
117,TERRSPOR0000000063706732,1.5,1,Indifférencié,109.62
118,TERRSPOR0000000063706785,1.5,1,Indifférencié,74.14
119,TERRSPOR0000000063706782,1.5,1,Indifférencié,84
120,TERRSPOR0000000063706735,1.5,1,Indifférencié,115.68
121,TERRSPOR0000000063706722,1.5,1,Indifférencié,133.36
122,TERRSPOR0000000063706783,1.5,1,Indifférencié,85.8
123,TERRSPOR0000000216877262,1.5,1,Indifférencié,138.52
124,TERRSPOR0000000216877266,1.5,1,Indifférencié,138.74
125,TERRSPOR0000000216877267,1.5,1,Indifférencié,127.74
126,TERRSPOR0000000216877591,1.5,1,Indifférencié,126.06
127,TERRSPOR0000000063706950,1.5,1,Indifférencié,54.26
128,TERRSPOR0000000220879905,1.5,1,Indifférencié,121.2
129,TERRSPOR0000000063706821,1.5,1,Indifférencié,90.9
130,TERRSPOR0000000063706831,1.5,1,Indifférencié,96.75
131,TERRSPOR0000000063706810,1.5,1,Indifférencié,82.38
132,TERRSPOR0000000295397078,1.5,1,Indifférencié,114.6
133,TERRSPOR0000000295397080,1.5,1,Indifférencié,114.6
134,TERRSPOR0000000295397081,1.5,1,Indifférencié,114.6
135,TERRSPOR0000000295395603,1.5,1,Indifférencié,105.3
136,TERRSPOR0000000219796963,1.5,1,Terrain de tennis,82.7
137,TERRSPOR0000000219797030,1.5,1,Terrain de tennis,76.3
138,TERRSPOR0000000216920057,1.5,1,Terrain de tennis,92.72
139,TERRSPOR0000000063706954,1.5,1,Terrain de tennis,52.5
140,TERRSPOR0000000063706951,1.5,1,Terrain de tennis,75.34
141,TERRSPOR0000000063706943,1.5,1,Terrain de tennis,59.48
142,TERRSPOR0000000063706932,1.5,1,Terrain de tennis,66.4
143,TERRSPOR0000000063706922,1.5,1,Terrain de tennis,62.6
144,TERRSPOR0000000063706905,1.5,1,Terrain de tennis,73.8
145,TERRSPOR0000000063706904,1.5,1,Terrain de tennis,127.8
146,TERRSPOR0000000063706892,1.5,1,Terrain de tennis,81
147,TERRSPOR0000000063706891,1.5,1,Terrain de tennis,73.58
148,TERRSPOR0000000063706893,1.5,1,Terrain de tennis,68.84
149,TERRSPOR0000000063706879,1.5,1,Terrain de tennis,96.26
150,TERRSPOR0000000063706817,1.5,1,Terrain de tennis,74.8
151,TERRSPOR0000000063706801,1.5,1,Terrain de tennis,79.52
152,TERRSPOR0000000063706780,1.5,1,Terrain de tennis,97.52
153,TERRSPOR0000000063706868,1.5,1,Terrain de tennis,71.34
