famille;equipement;code
Boulodrome;Terrain de boules;201
Boulodrome;Terrain de pétanque;202
Bowling;Bowling;301
Court de tennis;Court de tennis;501
Equipement de cyclisme;Espace trial;603
Equipement de cyclisme;Piste de bicross;604
Equipement de cyclisme;Piste de descente;605
Equipement de cyclisme;Terrain de polo-vélo;609
Equipement de cyclisme;Stade VTT de proximité;613
Equipement & piste de ski;Piste de ski indoor;704
Equipement équestre;Carrière;901
Equipement équestre;Manège;903
Equipement équestre;Parcours d'obstacles;904
Equipement d'athlétisme;Aire de saut;1003
Equipement d'athlétisme;Piste d'athlétisme 2 à 4 couloirs;1005
Mur et fronton;Jaï-Laï;1106
Parcours de golf;Parcours d'initiation;1201
Parcours de golf;Parcours 18 trous;1202
Parcours de golf;Swingolf;1206
Parcours sportif/santé;Parcours sportif/santé;1301
Pas de tir;Pas de tir à l'arc;1401
Pas de tir;Pas de tir à la cible;1402
Pas de tir;Pas de tir aux plateaux;1403
Salle ou terrain spécialisé;Salle de gymnastique sportive;2106
Salle ou terrain spécialisé;Salle de handball;2107
Salle ou terrain spécialisé;Salle de raquetball;2110
Salle ou terrain spécialisé;Piste de padel;2118
Salle ou terrain spécialisé;Salle ou terrain de badminton;2119
Salle ou terrain spécialisé;Terrain de AirBadminton;2120
Salle ou terrain spécialisé;Terrain de soccer;2128
Salle non spécialisée;Salles polyvalentes / des fêtes / non spécialisées;2201
Site d'activités aériennes;Aire mixte (décollage et atterissage);2301
Site d'activités aériennes;Aire de décollage;2302
Site d'activités aquatiques et nautiques;Site d'activités aquatiques et nautiques;2401
Site d'activités aquatiques et nautiques;Stade d’eau vive;2405
Site d'activités aquatiques et nautiques;Stade mixte;2408
Site d'activités aquatiques et nautiques;Point d'embarquement et de débarquement isolé;2410
Site d'activités aquatiques et nautiques;Port de plaisance;2417
Site d'activités aquatiques et nautiques;Zone de mouillage;2418
Site d'activités aquatiques et nautiques;Dispositif de franchissement;2419
Site de modélisme;Site d'aéromodélisme;2503
Site de modélisme;Site de modèle réduit (motonautisme);2504
Skatepark & vélo Freestyle;Anneau de Roller;2601
Skatepark & vélo Freestyle;Skatepark;2603
Structure Artificielle d'Escalade;Structure Artificielle d'Escalade;2701
Structure Artificielle d'Escalade;Blocs artificiels d'escalade;2703
Terrain de grands jeux;Terrain mixte;2801
Terrain de grands jeux;Terrain de rugby;2803
Terrain extérieur de petits jeux collectifs;Terrain de basket-ball 3x3;2905
Terrain extérieur de petits jeux collectifs;Terrain de futsal extérieur;2908
Terrain extérieur de petits jeux collectifs;Terrain de beach soccer;2914
Divers équipements Sports de nature;Parcours de chasse / en campagne;3004
Divers équipements Sports de nature;Parcours fixe de course d’orientation;3005
Divers équipements Sports de nature;Piste de pulka / traineau à chiens;3006
Divers équipements Sports de nature;Espace de pratique spéléologique;3015
Divers équipements;Arènes;3101
Divers équipements;Salle de spectacle / Zenith;3106
Divers équipements;Autres équipements divers;3109
