DepCode;DepLib;ComInsee;ComLib;InsNumeroInstall;InsNom;EquipementId;EquNbEquIdentique;ActCode;Sport / Activité;Niveau pratiqué;NatureLibelle;gps;InsNoVoie;InsLibelleVoie;InsCodePostal;Utilisation;Utilisateurs;typeerp;EquipementTypeCode;EquipementTypeLib;InsArrondissement;Famille type d'équipement
92;Hauts-de-Seine;92051;Neuilly-sur-Seine;920510001;Complexe Sportif;152812;3;7901;Tennis;Entrainement;Intérieur;48.885818, 2.254012;;Pont de Neuilly Sur Seine;92200;;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement sportif couvert;501;Court de tennis;;Court de tennis
92;Hauts-de-Seine;92051;Neuilly-sur-Seine;920510004;Tennis Edouard Nortier;152823;4;7901;Tennis;Entrainement;Découvert;48.8916, 2.26637;79;Rue Edouard Nortier;92200;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;501;Court de tennis;;Court de tennis
92;Hauts-de-Seine;92063;Rueil-Malmaison;920630007;Stade du Parc;152941;1;7901;Tennis;Non défini;Découvert;48.871455, 2.159349;;298 Avenue Napoleon Bonaparte;92500;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement de plein air;1105;Mur de tennis;;Mur et fronton
92;Hauts-de-Seine;92063;Rueil-Malmaison;920630093;Tennis Esso (Exxonmobil);260784;4;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.875537, 2.158281;25;Chemin Rural;92500;Récréation sportive;Autre(s) association(s) et groupes divers;Salle polyvalente à dominante sportive;501;Court de tennis;;Court de tennis
92;Hauts-de-Seine;92063;Rueil-Malmaison;920630091;Paris Country Club;264563;1;7901;Tennis;Compétition internationale;Découvrable;48.86169, 2.197094;121;Rue du Lieutenant Colonel de Montbrison;92500;Récréation sportive,Performance sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;501;Court de tennis;;Court de tennis
92;Hauts-de-Seine;92075;Vanves;920750007;College - Lycee Michelet;153458;1;7901;Tennis;Scolaire;Intérieur;48.82359, 2.288003;5;Rue Julien;92170;;Scolaires / Universités;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
92;Hauts-de-Seine;92078;Villeneuve-la-Garenne;920780005;Centre Sportif Philippe Cattiau;153523;1;7901;Tennis;Scolaire;Intérieur;48.942545, 2.325474;28;Avenue Georges Pompidou;92390;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
93;Seine-Saint-Denis;93001;Aubervilliers;930010017;Forest Hill;160648;4;7901;Tennis;Compétition départementale;Intérieur;48.90718, 2.3763;111;Avenue Victor Hugo;93300;Récréation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement sportif couvert;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93005;Aulnay-sous-Bois;930050006;Gymnase du Parc;160692;1;7901;Tennis;Entrainement;Intérieur;48.9284, 2.49658;;Avenue de la République;93600;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
93;Seine-Saint-Denis;93005;Aulnay-sous-Bois;930050018;Stade de la Rose des Vents;160748;4;7901;Tennis;Compétition départementale;Intérieur;48.96178, 2.49607;;Rue Louison Bobet;93600;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement sportif couvert;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93007;Blanc-Mesnil;930070002;Stade Omnisport Paul Eluard;160843;2;7901;Tennis;Compétition nationale;Intérieur;48.9304, 2.47513;;Avenue de Bruxelles;93150;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93007;Blanc-Mesnil;930070002;Stade Omnisport Paul Eluard;160844;3;7901;Tennis;Compétition nationale;Intérieur;48.93041, 2.47381;;Avenue de Bruxelles;93150;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement de plein air;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93015;Coubron;930150002;Tennis Almagrida;356588;1;7901;Tennis;Compétition régionale;Découvert;48.91353, 2.58377;;Chemin de la Remise;93470;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93027;Courneuve;930270009;Gymnase Anatole France;161123;1;7901;Tennis;Entrainement;Intérieur;48.92249, 2.40472;;Rue Anatole France;93120;Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
93;Seine-Saint-Denis;93029;Drancy;930290004;Stade Guy Moquet;161160;1;7901;Tennis;Compétition départementale;Intérieur;48.92086, 2.42133;;Rue Saint-Stenay;93700;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
93;Seine-Saint-Denis;93029;Drancy;930290018;Gendarmerie;161200;3;7901;Tennis;Entrainement;Découvert;48.91872, 2.45774;60;Rue Auguste Blanqui;93700;Formation sportive;Autre(s) association(s) et groupes divers;Établissement de plein air;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93030;Dugny;930300001;Complexe Alain Mimoun;161228;1;7901;Tennis;;Intérieur;48.9574, 2.41354;;Rue Leo Lagrange;93440;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
93;Seine-Saint-Denis;93032;Gagny;930320016;Tennis Club;161347;2;7901;Tennis;Compétition régionale;Intérieur;48.88094, 2.55236;9;Rue Jean Bouin;93220;Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93046;Livry-Gargan;930460011;Parc des Sports Alfred-Marcel Vincent;179419;2;7901;Tennis;Entrainement;Découvert;48.91778, 2.54285;43-47;Avenue du Maréchal Leclerc;93190;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93047;Montfermeil;930470003;Complexe Henri Vidal;161484;1;7901;Tennis;Entrainement;Intérieur;48.90329, 2.55546;9;Rue Utrillo;93370;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
93;Seine-Saint-Denis;93048;Montreuil;930480022;Montreuil Sports Loisirs;161554;1;7901;Tennis;Entrainement;Intérieur;48.8611, 2.46541;156;Rue Nouvelle France;93100;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);Établissement sportif couvert;1901;Salle multisports;;Salle multisports
93;Seine-Saint-Denis;93051;Noisy-le-Grand;930510005;Stade de Tennis Suzanne Lenglen;161732;4;7901;Tennis;Entrainement;Découvert;48.85316, 2.55006;3;Rue du Vieux Moulin;93160;Récréation sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93055;Pantin;930550004;Gymnase Henri Wallon;161851;1;7901;Tennis;Entrainement;Intérieur;48.89329, 2.42393;30;Rue Anatole France;93500;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
93;Seine-Saint-Denis;93063;Romainville;930630003;Complexe Sportif Paul Baldit;162013;4;7901;Tennis;Compétition départementale;Découvrable;48.88748, 2.44079;75;Avenue de Stalingrad;93230;Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);"Établissement sportif couvert;Structure gonflable";501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93064;Rosny-sous-Bois;930640001;Stade Armand Girodit;162053;2;7901;Tennis;Entrainement;Découvert;48.8796, 2.49506;118;Avenue du Président Kennedy;93110;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;"Salle polyvalente à dominante sportive;Établissement sportif couvert;Structure gonflable";501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93064;Rosny-sous-Bois;930640009;Gymnase Boissiere;162082;1;7901;Tennis;Entrainement;Intérieur;48.87348, 2.47072;317;Boulevard de la Boissière;93110;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
93;Seine-Saint-Denis;93064;Rosny-sous-Bois;930640010;Centre Aquanautique Camille Muffat;162090;1;7901;Tennis;Entrainement;Intérieur;48.87247, 2.48229;18;Mail Jean-Pierre Timbaud;93110;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
