COLL_NOM;COLL_SIRET;EQUIP_UID;EQUIP_THEME;EQUIP_CODE;EQUIP_TYPE;EQUIP_NOM;ADR_NUMERO;ADR_NOMVOIE;ADR_CODEPOSTAL;ADR_COMMUNE;ADR_CLE_INTEROP;ERP_ID;ERP_TYPE;ERP_CATEGORIE;EQUIP_LAT;EQUIP_LONG;EQUIP_OUVERTURE;EQUIP_TEL;EQUIP_EMAIL;EQUIP_WEB
Val-de-Marne;21940019900184;94019-05010102-548;Equipement sportif et de loisirs;05010102-548;Gymnase;cosec du bois l'abbe;nan;route plessis;94430;Chennevières-sur-marne;;;;;48.805;2.545;;;;
Val-de-Marne;21940056100011;94056-05010304-555;Equipement sportif et de loisirs;05010304-555;Court de tennis;tennis perigny;nan;route de brie conte robert;94520;Périgny-sur-Yerres;;;;;48.696;2.561;;;;
Val-de-Marne;21940070200011;94070-05010304-561;Equipement sportif et de loisirs;05010304-561;Court de tennis;terrain de tennis;nan;voie aux vaches;94440;Santeny;;;;;48.733;2.576;;;;
Val-de-Marne;21940060300011;94060-05030000-563;Equipement sportif et de loisirs;05030000-563;Autre équipement sportif et de loisirs;centre departemental de modelisme;nan;chemin des marmousets;94510;La Queue-en-brie;;;;;48.771;2.583;;;;
Val-de-Marne;21940070200011;94070-05010103-564;Equipement sportif et de loisirs;05010103-564;Salle ou terrain spécialisé;terrain de sport;nan;voie aux vaches;94440;Santeny;;;;;48.732;2.577;;;;
Val-de-Marne;21950491700010;94059-05010304-566;Equipement sportif et de loisirs;05010304-566;Court de tennis;terrains de tennis;17;avenue de l'europe;94420;Le Plessis -Trévise;;;;;48.802;2.577;;;;
Val-de-Marne;21940019900184;94019-05010103-567;Equipement sportif et de loisirs;05010103-567;Salle ou terrain spécialisé;salle - ecole du moulin a vent;nan;avenue claude debussy;94430;Chennevières-sur-marne;;;;;48.784;2.526;;;;
Val-de-Marne;21950491700010;94059-05030000-569;Equipement sportif et de loisirs;05030000-569;Autre équipement sportif et de loisirs;centre de loisirs jules verne;196;avenue de la marechale;94420;Le Plessis -Trévise;;;;;48.809;2.582;;;;
Val-de-Marne;21940075100018;94075-05010304-570;Equipement sportif et de loisirs;05010304-570;Court de tennis;terrains de tennis;nan;chemin des meuniers;94440;Villecresnes;;;;;48.717;2.547;;;;
Val-de-Marne;21940071000014;94071-05010304-572;Equipement sportif et de loisirs;05010304-572;Court de tennis;terrains tennis couverts - parc des sports de sucy;nan;route de la queue en brie;94370;Sucy-en-Brie;;;;;48.759;2.536;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940004100014;94004-05010102-573;Equipement sportif et de loisirs;05010102-573;Gymnase;gymnase - centre sportif maurice preault;16;avenue charles de gaulle;94470;Boissy-Saint-Léger;;;;;48.759;2.499;;;;https://ville-boissy.fr/
Val-de-Marne;21940004100014;94004-05010304-576;Equipement sportif et de loisirs;05010304-576;Court de tennis;terrains de football maurice preault;16;avenue charles de gaulle;94470;Boissy-Saint-Léger;;;;;48.759;2.498;;;;https://ville-boissy.fr/
