numinstallation;nominstallation;adresse;codepostal;new_name;new_code;actif;etat;date_creation;date_etat;date_valid;carac3;carac4;carac14;carac15;carac16;carac19;carac20;carac21;siret;uai;numequipement;nomequipement;codetypequipement;typequipement;famille;tagequipement;coordgpsx;coordgpsy;carac24;carac25;carac27;carac29;carac31;carac33;carac34;carac35;carac38;carac50;carac51;carac52;carac53;carac54;carac55;carac56;carac58;carac59;carac60;carac61;carac62;carac63;carac64;carac65;carac66;carac67;carac68;carac69;carac70;carac71;carac72;carac73;carac74;carac75;carac76;carac77;carac78;carac79;carac80;carac81;carac82;carac93;carac117;carac118;carac123;carac143;carac153;carac154;carac156;carac157;carac158;carac159;carac160;carac167;carac168;carac169;carac170;carac171;carac172;carac173;carac174;carac175;carac176;carac181;code_aps;epci_code;epci_nom;dep_code;dep_nom;reg_code;reg_nom;dep_code_filled;aca_nom;lib_bdv;code_bdv;coordonnees
I181970005;AIRE DE LOISIR;Rue Georges Pompidou;18200;Saint-Amand-Montrond;18197;True;Attribué;2011-11-23;2019-11-08;2015-10-22;true;2015-07-10;;true;false;;"{""Handicap moteur""}";{};;;E002I181970005;Skate Park;2603;Skatepark;Skatepark & vélo Freestyle;validé;2.516984;46.716596;false;true;false;false;false;false;false;false;false;;false;false;;false;;;false;false;false;false;;;;;;;9.0;37.0;333.0;2.0;0.0;0.0;0.0;;;;;;;;;;;2012;;;{};{};{};{};{};Individuel(s), famille(s);{};Bitume;Découvert;A partir de 2005;;;;Commune;;Commune;;;"{""6306""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.716596, 2.516984
I181970006;CENTRE BALNEO LUDIQUE;Rue des Ciseleurs;18200;Saint-Amand-Montrond;18197;True;Attribué;2008-12-09;2019-11-08;2015-10-22;true;2015-07-10;;false;true;Piscine;"{""Handicap moteur""}";{Bus};;;E001I181970006;Bassin sportif;102;Bassin sportif de natation;Bassin de natation;validé;2.53165;46.72572;true;false;true;true;true;false;true;true;true;false;true;false;true;true;;true;true;false;true;false;;true;;2010;;;;;;;0.0;0.0;2.0;;;;25.0;10.0;250.0;1.2;1.8;;;2008;;;"{""Bain(s) de vapeur/Hammam"",""Bain(s) Bouillonant(s)"",Sauna,Solarium}";{};"{Reception/accueil,""Bureau(x) club(s)"",Infirmierie,""Local de rangement"",""Salle(s) de réunion/cours""}";{};{Solaire};Individuel(s), famille(s);{};Carrelage;Intérieur;A partir de 2005;;A partir de 2005;;Commune;;Commune;;;"{""5206""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.72572, 2.53165
I181970006;CENTRE BALNEO LUDIQUE;Rue des Ciseleurs;18200;Saint-Amand-Montrond;18197;True;Attribué;2008-12-09;2019-11-08;2015-10-22;true;2015-07-10;;false;true;Piscine;"{""Handicap moteur""}";{Bus};;;E002I181970006;Bassin de plein air;103;Bassin ludique de natation;Bassin de natation;validé;2.53165;46.72572;true;false;true;true;true;true;true;true;true;false;true;false;true;true;;true;true;false;true;false;;true;;;;;;;;;0.0;0.0;2.0;;;;;;160.0;1.2;1.2;;;2008;;;"{""Bain(s) de vapeur/Hammam"",""Bain(s) Bouillonant(s)"",Sauna,Solarium}";{};"{Reception/accueil,""Bureau(x) club(s)"",Infirmierie,""Local de rangement"",""Salle(s) de réunion/cours""}";{};{};Individuel(s), famille(s),Scolaires, universités;{};Carrelage;Découvert;A partir de 2005;;;;Commune;;Commune;;;"{""5206""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.72572, 2.53165
I181970006;CENTRE BALNEO LUDIQUE;Rue des Ciseleurs;18200;Saint-Amand-Montrond;18197;True;Attribué;2008-12-09;2019-11-08;2015-10-22;true;2015-07-10;;false;true;Piscine;"{""Handicap moteur""}";{Bus};;;E004I181970006;Salle Cardio;802;Salle de musculation/cardiotraining;Equipement d'activités de forme et de santé;validé;2.53165;46.72572;true;false;false;true;false;false;false;false;true;;true;false;;false;;;false;false;false;false;;;;;;3.0;5.0;5.0;25.0;;0.0;0.0;0.0;;;;;;;;;;;2008;;;{};{};{};{};{Gaz};Individuel(s), famille(s);{};Synthétique (hors gazon);Intérieur;A partir de 2005;;;;Commune;;Commune;;;"{""8901""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.72572, 2.53165
I181970007;CHEMINS DE RANDONNEE;Place de la mairie;18200;Saint-Amand-Montrond;18197;True;Attribué;2005-10-23;2019-11-08;2015-10-22;true;2015-07-10;;false;false;;"{""Handicap moteur""}";{Bus};;;E004I181970007;Circuit du Grand Tertre - 5,5km;3012;Boucle de randonnée;Divers équipements Sports de nature;validé;2.50035;46.72681;false;true;false;false;false;false;false;false;false;;false;false;;false;;;false;false;false;false;;;;;;;;5500.0;;1.0;0.0;0.0;0.0;;;;;;;;;;;;;"Départ : Rue du 14 juillet 1789
Selon fiche n°243 du guide des sentiers du Boischaut et de la Marche";{};{};{};{};{};Individuel(s), famille(s);{};Surface naturelle;Site naturel aménagé;1985-1994;;;;Commune;;Commune;;;"{""6201""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.72681, 2.50035
I181970008;PETANQUE;Allée du Vernet;18200;Saint-Amand-Montrond;18197;True;Attribué;2015-10-22;2019-11-08;;false;2015-07-10;;true;false;;{};{};;;E002I181970008;Terrain de pétanque n°2;202;Terrain de pétanque;Boulodrome;validé;2.505261;46.734597;false;true;false;false;false;false;false;false;false;;false;false;;false;;;false;false;false;false;;;;;;;14.0;54.0;456.0;17.0;0.0;0.0;0.0;;;;;;;;;;;2012;;;{};{};{};{};{};Clubs sportifs, comités, ligues, fédérations;{};Stabilisé/cendrée;Découvert;A partir de 2005;;;;Commune;;Commune;;;"{""6001""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.734597, 2.505261
I181970008;PETANQUE;Allée du Vernet;18200;Saint-Amand-Montrond;18197;True;Attribué;2015-10-22;2019-11-08;;false;2015-07-10;;true;false;;{};{};;;E003I181970008;Terrain de pétanque n°3;202;Terrain de pétanque;Boulodrome;validé;2.505261;46.734597;false;true;false;false;false;false;false;false;false;;false;false;;false;;;false;false;false;false;;;;;;;14.0;39.0;546.0;12.0;0.0;0.0;0.0;;;;;;;;;;;2012;;;{};{};{};{};{};Clubs sportifs, comités, ligues, fédérations;{};Stabilisé/cendrée;Découvert;A partir de 2005;;;;Commune;;Commune;;;"{""6001""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.734597, 2.505261
I181970010;SALLE MONTAGNAC;Quai lutin;18200;Saint-Amand-Montrond;18197;True;Attribué;2015-10-22;2019-11-08;;true;2015-07-10;;false;false;;"{""Handicap moteur""}";{Bus};;;E001I181970010;Salle de karaté;1801;Dojo / Salle d'arts martiaux;Salle de combat;validé;2.501442;46.717788;true;false;false;true;false;false;true;true;false;;false;false;false;false;;false;false;false;false;false;;false;;;;3.0;9.0;12.0;104.0;1.0;0.0;0.0;1.0;;;;;;;;;;;2011;;Ancienne piscine;{};{};{};{};{Gaz};Clubs sportifs, comités, ligues, fédérations;{};Synthétique (hors gazon);Intérieur;A partir de 2005;;;;Commune;;Commune;;;"{""4401""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.717788, 2.501442
I181970015;BOULODROME;12 avenue de la république;18200;Saint-Amand-Montrond;18197;True;Attribué;2005-11-13;2019-11-08;2015-10-22;true;2015-07-10;;false;false;;"{""Handicap moteur""}";{Bus};;;E001I181970015;Terrain de pétanque n°1;202;Terrain de pétanque;Boulodrome;validé;2.50777;46.72652;true;false;false;true;true;false;false;true;false;;false;false;;false;;;false;false;false;false;;;;;;;11.0;28.0;308.0;;0.0;0.0;0.0;;;;;;;;;;;;;;{};{};"{""Bureau(x) club(s)"",Buvette,""Club(s) house""}";{};{};Clubs sportifs, comités, ligues, fédérations,Autre - association(s) et groupes divers;{};Sable;Découvert;Avant 1945;;;;Commune;;Commune;Association(s);;"{""6001""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.72652, 2.50777
I181970016;CITY STADE DIDIER GERBAUD;Rue Hugues Lapaire;18200;Saint-Amand-Montrond;18197;True;Attribué;2005-11-14;2019-11-08;2015-10-22;true;2015-07-10;;false;false;;"{""Handicap moteur""}";{Bus};;;E001I181970016;City stade;1701;Multisports/City-stades;Multisports/City-stades;validé;2.50525;46.73619;false;true;false;false;false;false;false;false;false;;false;false;;false;;;false;false;false;false;;;;;;;12.0;25.0;300.0;;0.0;0.0;0.0;;;;;;;;;;;1999;;;{};{};{};{};{};Individuel(s), famille(s),Scolaires, universités;{};Gazon synthétique;Découvert;1995-2004;;;;Commune;;Commune;;;"{""1101"",""2901""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.73619, 2.50525
