,Year,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final,Score1_Champion,Score2_Champion,Score1_Runner-up,Score2_Runner-up
30,1999,Martina Hingis,2, SUI,Amélie Mauresmo,0, FRA,"6–2, 6–3",6.0,6.0,2.0,3.0
31,2000,Lindsay Davenport,2, USA,Martina Hingis,1, SUI,"6–1, 7–5",6.0,7.0,1.0,5.0
32,2001,Jennifer Capriati,12, USA,Martina Hingis,1, SUI,"6–4, 6–3",6.0,6.0,4.0,3.0
33,2002,Jennifer Capriati,1, USA,Martina Hingis,3, SUI,"4–6, 7–6",4.0,7.0,6.0,6.0
34,2003,Serena Williams,1, USA,Venus Williams,2, USA,"7–6, 3–6",7.0,3.0,6.0,6.0
35,2004,Justine Henin,1, BEL,Kim Clijsters,2, BEL,"6–3, 4–6",6.0,4.0,3.0,6.0
36,2005,Serena Williams,7, USA,Lindsay Davenport,1, USA,"2–6, 6–3",2.0,6.0,6.0,3.0
37,2006,Amélie Mauresmo,3, FRA,Justine Henin,8, BEL,"6–1, 2–0 ",6.0,2.0,1.0,0.0
38,2007,Serena Williams,0, USA,Maria Sharapova,1, RUS,"6–1, 6–2",6.0,6.0,1.0,2.0
39,2008,Maria Sharapova,5, RUS,Ana Ivanovic,4, SRB,"7–5, 6–3",7.0,6.0,5.0,3.0
40,2009,Serena Williams,2, USA,Dinara Safina,3, RUS,"6–0, 6–3",6.0,6.0,0.0,3.0
41,2010,Serena Williams,1, USA,Justine Henin,0, BEL,"6–4, 3–6",6.0,3.0,4.0,6.0
42,2011,Kim Clijsters,3, BEL,Li Na,9, CHN,"3–6, 6–3",3.0,6.0,6.0,3.0
43,2012,Victoria Azarenka,3, BLR,Maria Sharapova,4, RUS,"6–3, 6–0",6.0,6.0,3.0,0.0
44,2013,Victoria Azarenka,1, BLR,Li Na,6, CHN,"4–6, 6–4",4.0,6.0,6.0,4.0
45,2014,Li Na,4, CHN,Dominika Cibulková,20, SVK,"7–6, 6–0",7.0,6.0,6.0,0.0
46,2015,Serena Williams,1, USA,Maria Sharapova,2, RUS,"6–3, 7–6",6.0,7.0,3.0,6.0
47,2016,Angelique Kerber,7, GER,Serena Williams,1, USA,"6-4, 3-6",,,,
48,2017,Serena Williams,2, USA,Venus Williams,13, USA,"6-4, 6-4",,,,
49,2018,Caroline Wozniacki,2,DEN,Simona Halep,1,ROU,"7-6, 3-6",,,,
50,2019,Naomi Osaka,4,JPN,Petra Kvitova,8,CZE,"7-6, 5-7",,,,
51,2020,Sofia Kenin,14,USA,Garbiñe Muguruza,0,ESP,"4-6, 6-2",,,,
52,2021,Naomi Osaka,3,JPN,Jennifer Brady,22,USA,"6-4, 6-3",,,,
