"Year","Major","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
1983,4,"Martina Navratilova",1,"USA","Chris Evert",2,"USA","6–1, 6–3"
1984,1,"Chris Evert",2,"USA","Helena Suková",9,"TCH","6–7(4–7), 6–1, 6–3"
1984,2,"Martina Navratilova",1,"USA","Chris Evert",2,"USA","6–3, 6–1"
1984,3,"Martina Navratilova",1,"USA","Chris Evert Lloyd",2,"USA","7–6(7–5), 6–2"
1984,4,"Martina Navratilova",1,"USA","Chris Evert",2,"USA","4–6, 6–4, 6–4"
1985,1,"Martina Navratilova",2,"USA","Chris Evert",1,"USA","6–2, 4–6, 6–2"
1985,2,"Chris Evert",2,"USA","Martina Navratilova",1,"USA","6–3, 6–7(4–7), 7–5"
1985,3,"Martina Navratilova",1,"USA","Chris Evert Lloyd",1,"USA","4–6, 6–3, 6–2"
1985,4,"Hana Mandlíková",3," TCH","Martina Navratilova",2,"USA","7–6(7–3), 1–6, 7–6(7–2)"
1986,2,"Chris Evert",2,"USA","Martina Navratilova",1,"USA","2–6, 6–3, 6–3"
1986,3,"Martina Navratilova",1,"USA","Hana Mandlíková",3,"TCH","7–6(7–1), 6–3"
1986,4,"Martina Navratilova",1,"USA","Helena Suková",7,"TCH","6–3, 6–2"
1987,1,"Hana Mandlíková",2,"TCH","Martina Navratilova",1,"USA","7–5, 7–6(7–1)"
1987,2,"Steffi Graf",2," FRG","Martina Navratilova",1,"USA","6–4, 4–6, 8–6"
1987,3,"Martina Navratilova",1,"USA","Steffi Graf",2,"FRG","7–5, 6–3"
1987,4,"Martina Navratilova",2,"USA","Steffi Graf",1,"FRG","7–6(7–4), 6–1"
1988,1,"Steffi Graf",1,"FRG","Chris Evert",3,"USA","6–1, 7–6(7–3)"
1988,2,"Steffi Graf",1,"FRG","Natasha Zvereva",13,"URS","6–0, 6–0"
1988,3,"Steffi Graf",1,"FRG","Martina Navratilova",2,"USA","5–7, 6–2, 6–1"
1988,4,"Steffi Graf",1,"FRG","Gabriela Sabatini",5,"ARG","6–3, 3–6, 6–1"
1989,1,"Steffi Graf",1,"FRG","Helena Suková",5,"TCH","6–4, 6–4"
1989,2,"Arantxa Sánchez Vicario",7,"ESP","Steffi Graf",1,"FRG","7–6(8–6), 3–6, 7–5"
1989,3,"Steffi Graf",1,"FRG","Martina Navratilova",2,"USA","6–2, 6–7(1–7), 6–1"
1989,4,"Steffi Graf",1,"FRG","Martina Navratilova",2,"USA","3–6, 7–5, 6–1"
1990,1,"Steffi Graf",1,"FRG","Mary Joe Fernández",6,"USA","6–3, 6–4"
1990,2,"Monica Seles",2,"YUG","Steffi Graf",1,"FRG","7–6(8–6), 6–4"
